setting,method_variant,sample_count,iou,dice,precision,recall,bit_accuracy,payload_recovery,auth_success,semantic_capsule_recovery,unknown_rate,reports_per_image,gt_coverage_retained,predicted_area_retained,no_report_images
synthetic_local_tamper_1000,EditGuard-style baseline,1000,0.8928331973424927,0.9398208447718827,0.9210072993936756,0.9645169727738201,0.99971875,0.989,0.989,,,,0.9645169727738201,,
synthetic_local_tamper_1000,SCE-LocGuard Stage8E,1000,0.8928331973424927,0.9398208447718827,0.9210072993936756,0.9645169727738201,0.99971875,0.989,0.989,0.9996499999999999,0.3077445050892462,33.895,0.96451697277382,1.0,0.0
synthetic_local_tamper_1000,SCE-LocGuard Stage8F-F3,1000,0.8928331973424926,0.9398208447718827,,,0.99971875,0.989,0.989,0.9996499999999999,0.1364343766211309,5.783,0.96451697277382,1.0,0.0
synthetic_local_tamper_1000,SCE-LocGuard Stage8F-F4_top3,1000,0.8935206493047809,0.9400118910141056,,,0.99971875,0.989,0.989,0.9996499999999999,0.06836461126005362,2.984,0.9625720194570365,0.993700261170097,0.0
synthetic_local_tamper_1000,SCE-LocGuard Stage8F-F4_top5,1000,0.8935169966744368,0.9400890938105771,,,0.99971875,0.989,0.989,0.9996499999999999,0.09380710659898477,4.925,0.9635214078852216,0.9960932349047437,0.0
localized_composited_aigc_local_edit_1000,EditGuard-style baseline,1000,0.9573244668616256,0.9778285735841604,0.9605053632820596,0.9965887139596729,0.9996875,0.984,0.984,,,,0.9965887139596729,,
localized_composited_aigc_local_edit_1000,SCE-LocGuard Stage8E,1000,0.9573244668616256,0.9778285735841604,0.9605053632820596,0.9965887139596729,0.9996875,0.984,0.984,0.9997,0.44226403478394705,25.989,0.9965887139596729,1.0,0.0
localized_composited_aigc_local_edit_1000,SCE-LocGuard Stage8F-F3,1000,0.9573244668616256,0.9778285735841605,,,0.9996875,0.984,0.984,0.9997,0.23141749536490813,5.933,0.9965887139596729,1.0,0.0
localized_composited_aigc_local_edit_1000,SCE-LocGuard Stage8F-F4_top3,1000,0.9585224995683388,0.9784736647441835,,,0.9996875,0.984,0.984,0.9997,0.16403361344537815,2.975,0.9965861568500809,0.9987091428789105,0.0
localized_composited_aigc_local_edit_1000,SCE-LocGuard Stage8F-F4_top5,1000,0.9581627873160735,0.9782806789208587,,,0.9996875,0.984,0.984,0.9997,0.2088094743403283,4.813,0.9965864105109133,0.9990909973659128,0.0
unconstrained_diffusion_rerendering_200,EditGuard-style baseline,200,0.13359886169433594,0.23037736446106755,0.13359886169433594,1.0,0.50578125,0.0,0.0,,,,1.0,,
unconstrained_diffusion_rerendering_200,SCE-LocGuard Stage8E,200,0.13359886169433594,0.23037736446106755,0.13359886169433594,1.0,0.50578125,0.0,0.0,0.50975,0.0,1.0,1.0,1.0,0.0
unconstrained_diffusion_rerendering_200,SCE-LocGuard Stage8F-F3,200,0.13359886169433594,0.23037736446106755,,,0.50578125,0.0,0.0,0.50975,0.0,1.0,1.0,1.0,0.0
unconstrained_diffusion_rerendering_200,SCE-LocGuard Stage8F-F4_top3,200,0.13359886169433594,0.23037736446106755,,,0.50578125,0.0,0.0,0.50975,0.0,1.0,1.0,1.0,0.0
unconstrained_diffusion_rerendering_200,SCE-LocGuard Stage8F-F4_top5,200,0.13359886169433594,0.23037736446106755,,,0.50578125,0.0,0.0,0.50975,0.0,1.0,1.0,1.0,0.0
